homw_ownership,income,dti,fico,loan_status
1,100000,35.28,670,0
0,120000,15.25,680,1
1,39000,32.49,690,1
1,130000,12.67,675,0
0,46051,6.39,670,1
1,200000,11.59,680,1
1,41000,17.44,675,1
1,67200,22.64,670,1
1,150000,14.25,680,1
1,100000,19.92,700,1
1,48478,21.56,660,1
0,53000,14.47,680,1
1,75000,24.02,685,1
1,111000,28.98,670,0
0,75000,26.21,700,1
0,69200,17.26,675,1
1,70000,22.41,660,0
0,16000,18.6,680,0
1,50000,19.76,660,0
1,70000,20.61,710,1
1,67000,28.87,710,1
0,60000,4.98,660,1
1,48925,19.08,685,1
0,55000,1.35,685,1
1,42000,18.83,700,0
1,66000,19.82,710,1
1,100000,20.76,720,1
0,134685,16.06,675,1
0,65000,14.68,670,1
1,54000,20.67,690,1
0,45000,17.36,675,0
0,47463,11.05,670,0
1,62000,21.21,710,1
1,72000,12.25,670,1
0,110000,30.56,690,0
0,42000,22.34,695,1
1,47000,34.98,665,1
0,50000,23.24,720,1
0,75000,11.36,695,1
1,35464,34.65,710,1
0,42000,8.63,675,1
1,42500,29.14,670,1
1,62000,6.77,695,1
0,48000,15.82,665,0
0,230000,8.66,665,1
1,50000,23.36,715,0
1,85000,17.18,705,1
1,35000,17.42,730,0
1,35000,12.95,670,1
1,142000,13.3,680,1
0,62000,11.73,665,1
1,94000,31.47,660,0
0,83000,14.03,705,1
1,33000,21.75,660,1
0,54000,26.24,675,1
1,127000,10.94,675,0
1,197000,15.64,710,0
1,50000,3.58,800,1
1,25500,28.75,670,0
1,66000,32.18,685,1
0,60000,15.92,660,1
1,51000,19.72,785,1
0,34000,7.13,705,1
0,55000,17.56,675,1
1,45000,17.68,660,1
1,150000,10.73,715,1
1,48000,7,670,1
0,70000,18.19,715,1
1,115000,6.01,675,1
1,80000,20.16,660,0
0,30000,9.67,665,1
1,127444,14.27,680,1
0,24000,21,685,1
0,85000,8.4,710,1
1,65000,18.94,700,1
0,57000,30.6,675,0
0,130000,4.5,695,1
1,80000,22.92,705,1
0,65000,23.46,710,1
1,102212,17.33,665,0
1,60000,8.08,660,1
1,40000,3.42,685,1
0,40000,17.73,675,0
1,100000,2.4,685,1
1,96000,16.85,700,1
1,78000,12.21,750,1
0,59800,6.31,665,1
1,74612,38.3,695,1
0,42000,11.45,665,1
1,50000,14.69,680,1
1,66000,11.33,660,1
1,48000,23.43,660,1
1,55000,6.42,750,1
1,76000,34.2,675,1
0,78000,29.57,675,0
0,30000,29.52,660,1
0,100000,21.61,710,1
1,62000,17.49,670,1
0,120000,3.84,660,1
1,110000,21.31,675,1
1,110247,12.15,730,1
0,100000,12.72,690,0
0,62000,19.53,660,1
1,120000,14.21,720,1
1,27600,9.35,740,0
0,38000,36.53,665,1
1,75000,19.01,700,1
0,35000,13.17,695,0
1,84000,26.45,685,1
1,49881.6,27.35,685,1
1,144000,23.56,745,1
1,52669.63,20.51,700,1
0,45000,16.8,660,0
0,70000,10.29,685,1
1,105000,17.39,670,1
0,41000,11.77,715,1
1,100000,3.2,750,0
1,65000,28.53,680,0
1,65000,11.87,740,1
0,35000,4.46,665,1
1,33000,6.07,695,0
1,140000,15.16,690,1
1,75000,15.17,665,1
0,35712,23.22,675,1
1,110000,7.43,760,1
1,125000,10.24,665,1
1,146000,4.1,720,1
1,48600,19.53,755,1
1,90000,23.4,660,1
1,42000,5.57,670,0
1,87000,2.97,660,0
1,44000,4.8,695,1
1,145000,24.08,665,1
1,29000,15.52,675,0
1,65000,20,690,1
1,65400,15.94,665,1
0,120000,21.47,740,0
1,36700,22.92,715,0
0,72000,22.08,720,1
1,53500,13.23,700,0
0,42000,22.26,720,1
0,112500,14.4,685,1
1,87000,16.23,695,1
0,41000,24.73,670,0
1,55000,31.96,675,1
1,45000,6.5,665,1
0,60500,22.99,720,1
1,78000,22.23,705,1
1,14000,20.5,705,1
1,63000,20.11,710,1
0,45000,9.09,685,1
0,43680,17.06,680,1
1,65000,17.7,705,1
1,53000,13.09,675,0
1,65000,19.41,660,0
1,165000,24.31,715,0
0,48000,7.05,660,0
0,33500,25.06,670,1
1,255000,30.57,695,1
0,38500,10.72,680,1
1,90000,5.29,705,1
1,51012,10.89,775,1
1,55596,12.76,725,1
1,120000,4.18,735,1
0,105000,1.71,700,1
0,36000,14.03,665,1
0,95000,16.41,660,1
1,68000,11.07,680,0
1,33840,18.49,680,1
1,62000,16.61,680,1
0,38438,30.75,680,1
1,150000,7.4,705,1
0,77653,12.94,670,0
1,151000,33.84,740,1
1,110000,16.58,690,1
1,63000,26.3,675,1
0,30000,10.2,715,1
1,76000,22.92,710,1
1,67000,16.64,670,1
1,75000,37.38,710,1
0,65000,18.21,660,0
1,50000,28.04,690,0
1,105206,19.95,690,1
1,91752,11.25,680,1
1,25000,35.09,665,1
1,55000,12.61,670,1
0,29000,15.36,700,0
1,96000,16.03,680,1
1,40000,29.1,685,1
0,49500,28.78,700,1
0,62500,12.96,720,1
1,50000,10.08,675,0
0,28160.5,18.07,700,1
1,52000,27.81,690,1
0,84000,14.17,680,1
0,33390,25.66,665,1
1,57339,0.42,795,1
1,20000,4.5,765,1
1,68000,23.61,660,1
1,97000,30.84,695,1
0,83000,29.18,690,1
1,70000,15.74,690,1
1,55000,22.87,660,1
1,68000,30.28,675,1
1,78000,4.85,695,1
1,65856,30.38,735,1
1,68500,29.75,760,1
1,85300,18.37,665,1
1,70000,16,675,1
0,39800,3.05,670,1
1,36000,24.77,685,1
1,45760,9.15,670,0
0,11760,6.63,695,1
0,83000,34.31,690,1
0,50000,15.94,670,1
0,48396,28.42,670,0
1,65000,16.56,670,1
0,53200,19.2,675,1
1,30000,20.24,675,1
0,37000,27.77,665,1
0,39000,23.08,770,1
1,120000,20.8,735,1
0,46000,17.78,685,0
0,24000,23.25,745,1
1,81000,14.42,765,1
0,43600,46.08,665,0
1,90000,15.07,690,1
1,290000,18.12,700,0
0,91000,20.86,680,1
1,130000,32.66,675,1
1,68000,0,790,1
1,84400,23.89,695,1
0,43680,32.72,705,1
1,37700,14.16,685,1
1,100000,14.42,710,1
1,66000,28.98,660,1
0,25000,15.79,675,1
1,25320,28.45,700,1
0,70500,27.37,720,1
0,25000,34.47,700,1
1,252000,22.23,720,1
1,14000,22.8,660,1
1,178000,3.07,670,0
0,48160,22.08,695,0
1,56000,26.51,660,1
0,36000,22.13,675,1
1,60000,12.76,665,1
1,90000,11.85,760,1
1,85000,23.79,720,1
1,45000,16.08,710,1
1,264000,9.49,785,1
1,135000,28.66,705,1
1,49000,18.47,660,1
1,130000,20.83,670,1
1,65000,18.55,775,1
0,70000,27.14,750,0
1,47000,21.02,680,0
1,104000,13.18,730,1
0,34000,18.91,670,1
0,58000,23.96,685,0
0,47000,32.79,770,1
0,50000,23.31,685,0
1,54000,21.02,705,1
0,84000,18.56,720,1
0,100000,9.14,745,0
1,91200,23.61,670,1
1,65000,21.98,685,0
0,50000,22.71,730,1
1,45000,22.64,710,1
1,60000,5.38,660,1
0,47000,10.39,665,1
0,69000,19.98,675,0
0,80000,24.38,740,1
1,55000,15.19,690,0
0,65000,25.4,685,1
1,50004,11.9,740,1
1,35000,10.42,685,1
1,72285,21.77,705,1
0,52000,15.39,670,1
0,130000,12.77,675,0
1,65210,30.66,690,0
1,230000,12.88,675,1
1,50000,13.35,660,0
0,85000,20.63,660,0
0,75000,18.03,665,1
1,120000,4.74,720,1
0,92000,14.21,680,1
0,38000,22.84,670,1
0,52000,15.09,675,1
0,80000,16.83,700,1
0,67300,7.81,675,1
0,50000,9.41,680,1
1,190000,14.63,705,1
1,95000,18.62,670,1
0,45000,20.56,660,0
0,92000,9.61,660,1
1,80000,24.9,670,1
1,96000,14.87,680,1
0,60000,10.83,680,1
0,55000,10.45,680,1
1,75000,25.12,665,1
1,65000,5.71,660,0
1,39140,8.86,685,1
0,39000,27.08,660,0
1,34872,0,715,1
1,97000,10.77,675,1
0,60000,23.7,690,1
0,67000,9.61,700,1
0,119000,15.03,680,1
1,45000,25.92,675,1
1,118000,11.1,705,1
1,40000,27.81,665,1
0,118000,28.81,680,0
1,119600,8.5,695,1
1,25000,33.7,665,1
1,150061,10.45,660,1
0,23920,6.72,690,0
1,29744,20.54,665,1
1,31800,14.91,675,1
1,122000,12.18,740,1
0,90000,2.63,675,0
1,40000,10.3,660,1
0,47500,13.83,695,1
1,30000,23.32,675,1
0,44500,21.06,705,1
1,75400,28.55,725,1
1,48000,18.48,740,1
1,95000,23.17,705,1
1,40000,33.87,710,1
1,66000,17.85,705,1
0,51000,9.76,725,0
0,61100,20.78,765,1
1,73769,11.13,670,1
1,60000,26.72,675,1
1,70000,15.05,670,0
0,85000,24.51,680,1
1,120000,19.54,665,1
1,75000,22.72,670,1
0,235000,21.81,695,0
0,40000,21.12,665,1
1,123000,24.25,700,1
0,120000,10.09,660,1
1,80000,12.35,690,1
1,122400,20.49,710,1
1,110000,15.09,735,1
1,53000,22.42,740,1
1,70000,29.09,690,1
1,60000,17.1,660,1
1,56000,22.89,665,1
0,36000,15.23,680,1
1,50000,3.86,670,1
1,43500,14.21,695,1
1,40900,21.77,705,1
1,106000,7.44,665,1
1,98400,12.93,755,1
0,79000,20.46,690,1
0,43000,25.37,735,1
1,35000,13.51,700,1
1,74000,1.38,785,1
1,120000,7.97,730,1
1,50000,30.84,690,1
1,200000,12.02,740,1
1,78000,10.96,720,1
1,86000,9.45,700,0
1,68000,18.17,690,1
1,100000,12.88,685,0
1,192000,8.88,680,1
0,36400,22.48,720,1
1,85000,16.72,720,1
1,75000,11.46,700,0
1,60000,16.7,675,1
0,32000,19.32,690,0
0,50000,18.41,665,1
0,53000,12.95,675,1
0,28000,26.14,665,0
1,51000,15.88,705,0
1,61000,33.29,715,1
1,200000,4.18,735,0
0,55000,39.43,680,0
1,92000,17.02,695,1
1,75600,10.11,740,1
1,362500,10.36,720,1
0,65000,6.39,660,1
0,37000,23.45,745,1
0,75000,5.93,685,0
0,30000,32.8,695,1
1,91000,6.86,690,1
1,54000,7.49,715,1
1,200000,7.92,685,1
0,28500,21.73,700,1
1,35000,17.52,670,1
1,100000,7.33,675,1
1,83000,12.42,695,1
1,45000,17.63,690,1
0,65000,14.79,685,1
0,65000,21.25,660,0
0,103000,24.79,675,0
0,32186,22.67,680,0
0,70000,26.06,715,1
0,56420,11.95,720,0
0,36000,14.8,715,0
0,140000,24.56,675,1
1,45800,22.38,800,1
1,59000,33.97,675,1
0,125000,6.71,755,0
1,65000,21.62,705,1
1,84000,14.04,665,0
0,38000,13.87,665,0
1,125000,16.82,725,1
0,55000,28.19,685,0
1,80000,24.84,700,1
0,100000,33.03,680,0
1,40000,6.42,680,0
1,55000,34.5,745,1
1,56000,19.49,740,1
1,135000,10.74,685,0
1,40000,9.27,670,1
1,42000,6.2,685,1
1,108000,19.67,690,0
1,100000,25.43,690,1
0,70000,17.37,685,1
1,130000,15.79,685,1
0,49000,14.23,660,1
1,65000,28.4,710,1
0,100000,20.95,760,0
0,57000,21.53,695,1
0,70000,13.85,690,1
0,30000,10.72,670,1
0,40000,15.18,685,1
0,40000,19.29,700,1
1,65000,15.88,660,1
1,46500,29.37,700,1
0,30000,14.8,690,0
1,54000,26.82,675,0
1,51048,12.39,665,1
1,120000,10.53,705,1
0,51000,19.04,685,1
1,180000,10.28,705,1
0,88000,27.63,700,1
0,37000,29.48,725,1
1,100000,11.23,745,1
1,65000,28.18,665,1
1,102000,7.92,690,1
0,34000,16.27,685,1
1,65000,25.72,700,1
1,160000,21.97,695,1
0,40000,10.41,660,0
1,95000,16.27,775,1
1,10000,9,665,0
0,52000,31.69,690,0
1,125000,14.49,710,1
1,67000,28.86,685,0
0,50000,12.48,695,1
0,40704,16.83,660,1
1,49000,19.13,690,1
1,100000,11.42,810,1
1,120000,18.55,685,1
1,67931,14.06,730,1
1,48000,26.98,685,1
1,60000,23.28,720,1
1,115000,16.41,660,1
1,52000,22.48,685,1
1,55000,30.85,690,1
1,52000,19.34,690,1
1,42000,38.97,705,1
1,100000,30.58,720,0
1,44648,24.49,700,1
1,50000,20.52,670,0
0,60000,21.84,720,1
1,65000,20.62,670,1
0,42000,20.29,660,0
0,105000,10.19,700,1
1,75000,36.98,690,1
0,85000,20.57,675,0
1,43000,23.44,680,1
1,31000,25.44,675,0
1,20000,31.75,675,1
0,38000,10.08,670,1
1,110000,24.98,715,1
1,100000,11.36,665,1
1,50000,15.67,670,1
1,101000,9.53,715,1
1,80000,22.44,680,1
0,70000,14.73,675,1
1,67183.52,8.02,685,0
1,29000,18.63,665,1
1,77000,22.96,685,1
0,72000,15.61,685,1
1,121000,0.25,775,1
1,43200,8.72,690,1
1,60000,9.68,725,1
0,40000,24.27,685,1
1,75000,37.84,690,1
1,175000,16.37,715,1
0,36000,27.79,675,1
1,89000,12.77,795,1
0,86940,13.76,785,1
1,70000,25.13,680,0
0,40000,14.88,660,1
1,104236,9.3,675,1
0,40000,22.65,685,0
1,26000,20.78,725,0
0,75000,8.1,670,1
0,98500,11.76,685,1
0,32000,29.63,700,1
0,54000,14.32,670,1
0,31000,17.23,695,0
0,57000,0.19,755,1
1,55300,15.08,740,1
1,260000,13.1,720,1
1,160000,7.19,735,1
1,65000,25.72,745,1
1,160000,7.37,695,1
1,65000,24.7,695,1
1,32500,18.28,725,1
1,55000,19.51,765,1
1,76000,13.31,735,1
0,50000,20.55,685,0
1,50000,8.59,710,1
0,85000,19.55,685,1
0,32000,6.49,680,1
0,90000,9.07,680,1
1,92000,8.67,680,1
0,63150,22.14,735,1
0,55000,21.15,740,1
1,108000,15.84,735,1
0,126000,14.24,680,1
1,95000,32.54,665,1
1,90000,12.37,710,0
1,35000,25.33,670,1
0,30000,5.72,685,1
1,75000,2.68,675,1
0,56000,21.17,675,1
1,80000,19.68,665,1
0,40000,22.17,705,1
1,169000,21.42,685,1
1,46000,20.04,660,0
1,80000,18.15,690,1
1,85000,25.77,675,1
1,27000,17.64,685,1
1,70000,24.38,690,0
1,95000,26.96,680,1
1,74880,12.32,670,1
0,30000,10.88,695,1
1,32000,31.96,670,1
1,50000,31.37,670,1
0,30000,8.68,665,1
1,90000,31.33,715,1
1,54324,28.85,685,0
1,90000,25.88,705,1
0,42000,15.47,660,1
1,122500,26.17,740,1
1,37500,23.52,720,1
1,95500,5.74,685,1
1,10000,15.37,715,1
1,53000,17,660,1
1,46500,18.66,725,1
1,53000,22.92,685,1
1,38000,17.43,710,1
0,75000,24.01,715,1
1,30000,2.36,775,1
0,50000,32.74,665,1
0,60000,17.44,690,1
1,52000,8.86,670,0
0,44800,24,675,0
1,60000,13.28,670,1
1,66000,30.56,660,1
1,80000,14.73,690,1
1,103500,0.87,695,1
1,82154,23.28,740,1
1,74000,4.09,665,1
1,55000,19.53,660,0
1,46000,24.5,740,1
1,47000,16.93,695,1
1,99000,7.67,765,1
0,106581.14,12.57,695,1
1,120000,19.81,665,0
1,50000,24.15,705,1
1,54000,23.04,670,1
1,57000,22.53,670,1
1,62000,15.01,675,1
1,50000,17.76,695,1
1,104000,10.27,765,0
1,65000,3.23,750,1
0,70000,16.85,665,1
1,58000,18.93,670,1
1,124000,2.84,725,1
1,100000,24.47,685,1
0,34000,28.59,660,0
1,75000,12.16,675,1
0,30000,12.96,675,1
0,35000,27.16,725,1
1,68000,17.83,705,1
1,16584,20.69,695,0
0,29390.4,27.15,670,1
1,60000,24.88,670,0
1,82000,7.46,670,1
0,33280,29.19,675,0
1,112000,22.97,765,1
1,225000,18.66,685,1
1,127000,24.06,710,1
0,43000,4.72,685,1
0,70000,17.19,670,1
1,60000,14.8,715,1
0,24000,34.3,695,1
1,24000,5.35,680,1
0,36000,6.9,690,0
0,113000,6.84,765,1
1,250000,9.78,710,1
0,45000,14.05,665,1
1,74000,20.58,665,1
1,65000,15.42,665,1
0,160000,12.42,695,1
1,171000,4.62,740,1
1,180000,21.07,695,1
1,144000,8.3,660,1
0,52000,40.57,690,1
1,50000,24.15,720,1
1,100000,10.98,665,1
1,63500,15.38,685,1
1,56000,20.42,710,1
0,84000,13.9,695,0
0,50000,20.45,735,1
1,43000,30.14,695,0
1,125000,25.14,695,1
1,89000,33.09,685,1
1,81000,9.33,665,1
0,40000,19.17,705,1
1,200000,11.72,730,1
1,26000,35.23,720,1
1,40000,10.11,695,1
1,50700,18.63,705,1
1,74400,21.82,660,1
1,145000,11.97,660,1
1,70000,11.01,685,1
0,107000,10.09,705,1
0,139000,16.7,670,1
1,55000,16.12,670,1
1,89412,19,695,1
1,80000,27.59,660,1
1,90000,22.61,710,1
0,50400,20.05,710,1
0,45000,14.88,715,1
1,35000,26.43,675,1
0,75000,24.85,760,1
0,85000,11.24,700,1
1,45000,9.82,695,1
1,110000,13.69,685,1
1,60000,13.94,690,0
0,62500,19.09,760,1
1,540000,3.04,680,1
0,53000,19.75,675,1
1,95000,9.61,690,1
1,100000,36.16,675,0
1,68000,29.05,695,1
1,49000,26.52,715,0
1,160000,12.02,725,1
0,36932,29.31,670,0
1,65000,28.05,705,0
1,103000,9.93,710,1
1,35000,11.47,720,0
1,45000,23.95,730,1
0,62000,16.65,705,1
1,45760,33.25,685,1
1,93000,27.84,695,1
1,62000,24.7,695,1
1,76000,15.13,710,1
1,96000,27.13,735,1
1,65000,19.66,685,1
1,69000,19.55,710,1
0,110000,39.94,705,1
1,135000,18.45,705,1
1,48000,10.9,800,1
1,24000,24.8,720,1
1,66000,29.07,665,1
1,38000,39.1,660,1
0,32000,16.62,735,1
0,40000,26.62,690,1
1,75000,6.74,670,1
0,142000,12.94,700,1
0,47000,6.08,705,1
1,75000,20.59,690,1
0,81000,14.55,680,1
1,300000,17.06,690,1
0,101900,8.44,670,0
1,56000,18.88,660,1
1,70000,14.09,665,1
0,43000,7.28,705,1
0,28000,15.22,715,0
1,89000,20.22,695,1
0,70000,25.24,700,0
0,125000,13.15,695,1
1,50000,4.85,685,1
1,80000,9.17,730,1
1,40000,9.3,665,1
1,57000,20.71,695,1
1,145000,24.11,715,1
1,200000,7.6,695,0
1,91000,23.42,680,1
0,53000,23.01,710,1
1,280000,10.44,685,1
1,130000,10.9,690,0
1,85000,27.06,695,1
1,115000,3.69,720,1
1,260000,15.6,690,1
1,120000,4.39,750,1
0,61000,8.97,705,1
1,43180,1.81,730,1
0,80000,21.99,665,1
0,42000,20,665,1
1,90000,9.25,665,1
1,123000,13.61,775,1
1,65000,26.14,670,1
1,43450,18.53,665,1
1,85000,20.6,740,0
1,79000,16.51,715,1
0,50000,25.61,715,1
0,55000,30.14,750,1
1,41000,8.26,670,1
1,74454,19.95,665,1
0,22822.92,21.73,710,0
1,95000,13.17,725,1
1,110000,2.26,680,1
1,40000,8.31,775,1
0,55000,14.55,660,1
1,91000,12.98,715,1
0,80000,21.84,695,1
1,23000,3.52,690,1
1,90000,15.51,695,0
1,65000,11.45,685,1
0,85000,9.37,700,1
1,55000,34.21,715,0
0,56000,14.27,690,0
1,60000,25.44,660,1
1,70000,26.47,725,1
0,36000,18.87,705,1
0,150000,12.56,680,0
1,28800,16.21,695,1
1,95000,24.56,690,1
0,35000,6.45,670,1
1,100000,17.89,735,1
1,49000,20.99,690,1
0,25000,26.93,715,1
1,36000,36.5,780,1
0,70000,20.66,665,0
1,45000,14.53,670,0
1,52000,18.84,710,0
1,55000,12.96,680,1
1,71000,14.44,660,1
0,40000,14.06,770,1
0,70000,24.77,660,0
1,26500,28.85,665,1
1,63000,18.75,675,0
1,30000,24.32,665,1
1,33741,31.13,725,1
1,160000,7.22,680,0
0,64000,17.63,670,1
1,80000,17.7,675,0
1,40000,17.85,665,1
1,40372.8,31.69,695,1
0,70000,11.38,695,0
1,69000,21.6,715,1
1,26200,27.3,685,1
1,90000,24.19,670,0
0,130000,13.29,660,1
1,158100,9.18,750,1
1,42000,38.66,675,0
1,95000,20.5,720,1
0,82300,20.6,675,1
0,145500,26.09,660,1
0,59000,34.35,750,1
1,109872,7.73,755,1
1,24000,33.6,690,1
1,60000,13.86,690,1
1,63600,22.09,755,1
1,60000,29.92,715,1
1,30000,26.56,680,1
0,25258,23.57,680,1
0,55000,7.23,710,1
0,38400,19.81,695,1
0,49650,7.35,680,1
0,91000,20.42,725,1
1,70200,26.21,670,1
0,65000,28.38,665,0
1,30000,3.4,670,1
0,52000,15.19,700,1
1,91500,18.96,695,1
1,130000,5.33,760,1
1,62900,25.15,715,1
1,75000,23.6,685,1
1,75000,19.7,690,1
1,36000,36.2,660,0
1,100000,9.38,715,1
1,36000,38.03,675,0
1,47000,18.64,685,0
1,75920,12.25,680,1
0,80000,26.78,660,0
0,80000,29.62,675,0
0,54263,12.38,670,1
1,70000,3.27,670,1
0,55000,20.75,675,0
1,135000,19.5,695,1
1,118000,14.73,680,1
0,44000,27.09,660,1
0,94939,17.15,670,1
1,60000,6.18,700,1
0,48000,24.6,715,1
1,38000,15.45,665,1
1,69600,23.64,710,1
1,83000,28.2,750,1
0,56000,23.38,700,1
1,65000,16.23,675,1
0,28500,16.67,675,0
0,50000,2.54,740,1
1,120000,19.76,745,0
0,75000,10.66,660,1
1,48600,7.75,665,1
1,23964,10.72,780,1
0,72000,22.57,715,1
1,80000,11.01,750,1
1,170000,15.76,695,1
1,55000,11.5,660,1
1,51000,13.84,680,1
1,30000,10.97,750,1
1,66000,17.67,685,1
0,85000,24.07,715,1
1,75000,5.42,665,1
0,38937,9.68,660,0
1,47000,15.76,665,1
1,98500,4.24,665,1
1,80000,11.75,665,1
1,90000,11.71,695,1
0,70000,11.66,670,1
1,85000,15.6,665,1
0,37604,23.11,700,1
1,64000,34.71,665,1
1,130000,16.84,695,1
1,68000,8.19,770,1
1,60000,24.88,665,0
0,210000,10.99,675,1
0,38000,17.12,685,0
0,36000,23.37,715,1
1,105000,5.28,765,1
0,22000,28.81,680,1
1,132000,30.98,660,0
1,130000,26.9,685,0
1,60000,18.18,790,1
0,32500,15.99,755,1
0,40000,14.07,665,0
1,100000,21.07,675,1
0,70000,22.22,720,1
1,60000,25.96,680,1
0,50000,19.4,680,1
1,80000,5.24,660,0
1,57000,21.8,660,0
0,80340,14.5,660,1
1,50000,18.98,760,1
1,55000,29.87,665,0
1,43500,27.31,705,1
1,54000,17.11,665,0
0,85000,23.98,685,1
1,126887,16.24,715,1
1,56000,10.99,725,0
0,58000,25.33,705,1
0,105000,10.62,670,0
1,62000,9.72,675,0
1,70000,21.57,730,1
1,98000,16.5,690,1
0,66000,16.13,685,1
0,54264,14.77,710,1
0,55000,15.14,665,1
0,100000,20.32,785,1
1,50000,15.46,665,0
1,99670,15.12,660,1
1,108000,27.43,685,0
1,81000,22.53,705,1
1,68000,14.17,675,1
1,150000,24.03,670,0
0,32172,22.86,665,1
0,120000,20.13,665,1
1,30000,14.44,760,1
1,225000,8.25,700,1
1,80000,12.54,820,1
1,110000,15.82,660,1
1,86000,14,670,1
1,55000,14.03,705,1
1,45000,10.29,700,1
1,100000,20.41,665,1
1,64200,27.94,660,1
1,48000,20.35,705,1
1,120000,14.13,670,1
1,33000,29.34,670,0
1,75000,13.25,695,1
1,31000,13.3,660,1
0,70000,19.89,665,1
1,48000,25.29,770,1
1,40000,20.28,675,1
1,72000,19.78,660,1
0,120000,20.62,710,1
0,16584,27.5,685,1
1,40000,19.23,695,1
1,44000,29.02,715,1
0,60000,7.08,690,1
1,34000,33.49,705,1
1,65000,27,770,1
0,42000,16.86,660,0
0,125000,6.99,690,1
1,75000,17.31,735,1
0,290000,10.11,685,1
1,60000,15.54,715,1
1,41000,10.01,685,1
1,70000,21.52,665,0
1,45000,11.22,665,0
1,19000,20.72,685,1
0,66000,10.89,710,1
1,70702.8,14.43,705,0
0,65000,5.61,660,1
1,71000,23.07,690,1
0,50000,8.04,700,1
1,155000,25.31,710,1
0,55000,17.91,675,1
1,40000,22.05,745,1
1,62000,25.9,705,1
1,92000,20.99,670,1
1,68000,23.4,680,1
0,83200,20.16,670,1
1,80000,8.81,690,1
1,60000,19.46,685,0
0,42000,8.46,710,1
0,40000,9.6,690,1
0,27500,7.9,660,1
0,70000,10.03,675,1
1,130000,11.18,660,1
1,55000,20.05,680,1
0,200000,6.77,775,1
0,52000,30.17,675,1
1,110000,8.38,710,1
1,76000,27.18,690,1
0,55000,18.35,680,0
1,96000,12.24,690,1
0,73000,10.21,730,1
1,93000,24.75,760,1
1,55000,32.05,665,0
1,80000,17.99,660,1
0,65000,20.62,690,1
1,134000,6.32,705,1
1,105000,24.11,670,1
1,125000,14.12,700,1
1,60000,31.29,765,1
1,140000,19.86,660,0
1,49000,9.18,755,1
1,128973,20,730,0
